통계년월,통계시도명,통계시군구명,수급자구분,성별,연령구간,수급자수
201905,서울특별시,성동구,일반수급자,여성,7~12세,184
201905,서울특별시,성동구,일반수급자,여성,13~15세,105
201905,서울특별시,성동구,일반수급자,여성,16~18세,171
201905,서울특별시,성동구,일반수급자,여성,19~29세,141
201905,서울특별시,성동구,일반수급자,여성,30~39세,91
201905,서울특별시,성동구,일반수급자,여성,40~49세,265
201905,서울특별시,성동구,일반수급자,여성,50~59세,343
201905,서울특별시,성동구,일반수급자,여성,60~64세,219
201905,서울특별시,성동구,일반수급자,여성,65~69세,327
201905,서울특별시,성동구,일반수급자,여성,70~74세,366
201905,서울특별시,성동구,일반수급자,남성,13~15세,148
201905,서울특별시,성동구,일반수급자,여성,75~79세,432
201905,서울특별시,성동구,일반수급자,여성,80~89세,538
201905,서울특별시,성동구,일반수급자,여성,90세이상,96
201905,서울특별시,성동구,조건부수급자,남성,7세미만,12
201905,서울특별시,성동구,조건부수급자,남성,7~12세,37
201905,서울특별시,성동구,조건부수급자,남성,13~15세,41
201905,서울특별시,성동구,조건부수급자,남성,16~18세,52
201905,서울특별시,성동구,조건부수급자,남성,19~29세,162
201905,서울특별시,성동구,조건부수급자,남성,30~39세,21
201905,서울특별시,성동구,조건부수급자,남성,40~49세,97
201905,서울특별시,성동구,조건부수급자,남성,50~59세,289
201905,서울특별시,성동구,조건부수급자,남성,60~64세,120
201905,서울특별시,성동구,조건부수급자,남성,65~69세,10
201905,서울특별시,성동구,조건부수급자,남성,70~74세,9
201905,서울특별시,성동구,일반수급자,남성,16~18세,164
201905,서울특별시,성동구,조건부수급자,남성,75~79세,3
201905,서울특별시,성동구,조건부수급자,남성,80~89세,3
201905,서울특별시,성동구,조건부수급자,남성,90세이상,2
201905,서울특별시,성동구,조건부수급자,여성,7세미만,16
201905,서울특별시,성동구,조건부수급자,여성,7~12세,34
201905,서울특별시,성동구,일반수급자,남성,19~29세,120
201905,서울특별시,성동구,조건부수급자,여성,13~15세,29
201905,서울특별시,성동구,조건부수급자,여성,16~18세,57
201905,서울특별시,광진구,조건부수급자,여성,30~39세,27
201905,서울특별시,광진구,조건부수급자,여성,40~49세,153
201905,서울특별시,광진구,조건부수급자,여성,50~59세,154
201905,서울특별시,광진구,조건부수급자,여성,60~64세,53
201905,서울특별시,광진구,조건부수급자,여성,65~69세,6
